"Sepal length","Sepal width","Petal length","Petal width","Species"
1,5.1,3.5,1.4,0.2,"setosa"
2,4.9,3.0,1.4,0.2,"setosa"
3,4.7,3.2,1.3,0.2,"setosa"
4,4.6,3.1,1.5,0.2,"setosa"
5,5.0,3.6,1.4,0.2,"setosa"
6,5.4,3.9,1.7,0.4,"setosa"
7,4.6,3.4,1.4,0.3,"setosa"
8,5.0,3.4,1.5,0.2,"setosa"
9,4.4,2.9,1.4,0.2,"setosa"
10,4.9,3.1,1.5,0.1,"setosa"
11,5.4,3.7,1.5,0.2,"setosa"
12,4.8,3.4,1.6,0.2,"setosa"
13,4.8,3.0,1.4,0.1,"setosa"
14,4.3,3.0,1.1,0.1,"setosa"
15,5.8,4.0,1.2,0.2,"setosa"
16,5.7,4.4,1.5,0.4,"setosa"
17,5.4,3.9,1.3,0.4,"setosa"
18,5.1,3.5,1.4,0.3,"setosa"
19,5.7,3.8,1.7,0.3,"setosa"
20,5.1,3.8,1.5,0.3,"setosa"
21,5.4,3.4,1.7,0.2,"setosa"
22,5.1,3.7,1.5,0.4,"setosa"
23,4.6,3.6,1.0,0.2,"setosa"
24,5.1,3.3,1.7,0.5,"setosa"
25,4.8,3.4,1.9,0.2,"setosa"
26,5.0,3.0,1.6,0.2,"setosa"
27,5.0,3.4,1.6,0.4,"setosa"
28,5.2,3.5,1.5,0.2,"setosa"
29,5.2,3.4,1.4,0.2,"setosa"
30,4.7,3.2,1.6,0.2,"setosa"
31,4.8,3.1,1.6,0.2,"setosa"
32,5.4,3.4,1.5,0.4,"setosa"
33,5.2,4.1,1.5,0.1,"setosa"
34,5.5,4.2,1.4,0.2,"setosa"
35,4.9,3.1,1.5,0.2,"setosa"
36,5.0,3.2,1.2,0.2,"setosa"
37,5.5,3.5,1.3,0.2,"setosa"
38,4.9,3.6,1.4,0.1,"setosa"
39,4.4,3.0,1.3,0.2,"setosa"
40,5.1,3.4,1.5,0.2,"setosa"
41,5.0,3.5,1.3,0.3,"setosa"
42,4.5,2.3,1.3,0.3,"setosa"
43,4.4,3.2,1.3,0.2,"setosa"
44,5.0,3.5,1.6,0.6,"setosa"
45,5.1,3.8,1.9,0.4,"setosa"
46,4.8,3.0,1.4,0.3,"setosa"
47,5.1,3.8,1.6,0.2,"setosa"
48,4.6,3.2,1.4,0.2,"setosa"
49,5.3,3.7,1.5,0.2,"setosa"
50,5.0,3.3,1.4,0.2,"setosa"
51,6.3,3.3,6.0,2.5,"virginica"
52,5.8,2.7,5.1,1.9,"virginica"
53,7.1,3.0,5.9,2.1,"virginica"
54,6.3,2.9,5.6,1.8,"virginica"
